S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,1,960.00,960.00,960.00,25.00,24000.00,947.00,13.00 
2,10.35% Agricultural Bank Debenture 2083,1,964.60,964.60,964.60,640.00,617344.00,945.70,18.90 
3,10.5 % NEPAL INVESTMENT DEBENTURE 2082,9,960.00,947.50,960.00,2065.00,1964337.50,947.50,12.50 
4,11% NIC Asia Debenture 082/83,1,1000.00,1000.00,1000.00,25.00,25000.00,995.00,5.00 
5,12 % Goodwill Finance Limited Debenture 2083,1,1031.00,1031.00,1031.00,25.00,25775.00,1050.00,-19.00 
6,12% ICFC Finance Limited Debenture 2083,1,1029.00,1029.00,1029.00,100.00,102900.00,1050.00,-21.00 
7,8.5% Nepal Investment Bank Debenture 2084,4,836.30,828.00,828.00,70.00,58279.50,846.30,-18.30 
8,9.5% NCC Debenture 2086,1,945.70,945.70,945.70,25.00,23642.50,965.00,-19.30 
9,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,48,851.40,760.00,810.00,1379.00,1128911.00,774.00,36.00 
10,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,319,921.00,886.90,910.00,7057.00,6393800.50,885.00,25.00 
11,Agricultural Development Bank Limited,310,317.00,307.80,315.10,39098.00,12267102.10,309.00,6.10 
12,Ajod Insurance Limited,67,461.50,434.90,453.00,3210.00,1443641.00,435.00,18.00 
13,Ankhu Khola Jalvidhyut Company Ltd,414,195.60,180.00,195.00,62001.00,11798016.10,177.90,17.10 
14,Api Power Company Ltd.,758,251.00,230.30,250.00,136538.00,33091340.50,230.00,20.00 
15,Arun Kabeli Power Ltd.,637,429.90,394.00,429.00,96853.00,40077098.00,391.00,38.00 
16,Arun Valley Hydropower Development Co. Ltd.,758,361.00,335.00,358.00,141889.00,49542669.10,330.10,27.90 
17,Asha Laghubitta Bittiya Sanstha Ltd,52,1255.00,1222.00,1249.00,2586.00,3217121.00,1228.00,21.00 
18,Asian Life Insurance Co. Limited,388,538.00,502.00,537.00,93671.00,49059365.50,507.90,29.10 
19,Balephi Hydropower Limited,235,234.00,217.20,230.00,7365.00,1661279.90,213.00,17.00 
